,Cities,Latitude,Longitude,Humidity,Max Temperature,Cloudiness,Wind Speed,Country Code,Date
44,Zhuhai,22.2769,113.5678,67,66.0,0,11.5,CN,1612053176
45,Saskylakh,71.9167,114.0833,82,-33.81,100,11.7,RU,1612053119
46,Atuona,-9.8,-139.0333,73,79.25,62,17.56,PF,1612053353
47,Álamos,27.0167,-108.9333,64,72.0,94,3.0,MX,1612053373
48,Safaga,26.7292,33.9365,58,55.4,0,8.05,EG,1612053375
49,Birjand,32.8663,59.2211,68,44.94,0,7.27,IR,1612053377
50,Talnakh,69.4865,88.3972,71,-31.2,0,6.93,RU,1612053378
51,Alofi,-19.0595,-169.9187,74,82.4,100,12.66,NU,1612053379
52,Mandalgovi,45.7625,106.2708,79,5.56,91,21.9,MN,1612053380
53,Olafsvik,64.8945,-23.7142,89,23.16,30,16.17,IS,1612053382
54,Smithers,54.7804,-127.1743,68,21.2,90,2.3,CA,1612053237
55,La Ronge,55.1001,-105.2842,85,12.2,6,1.14,CA,1612053384
56,Linxia Chengguanzhen,35.6003,103.2064,80,23.63,100,1.39,CN,1612053386
57,Chui,-33.6971,-53.4616,88,71.51,100,12.12,UY,1612053387
58,Faya,18.3851,42.4509,62,55.4,0,5.75,SA,1612053389
59,Hasaki,35.7333,140.8333,45,41.0,20,6.91,JP,1612053362
60,Vaini,-21.2,-175.2,79,86.0,75,13.8,TO,1612053391
61,Tuba,16.3897,120.5608,84,58.64,100,3.11,PH,1612053392
62,Coyhaique,-45.5752,-72.0662,45,64.4,0,9.22,CL,1612053393
63,Voyvozh,62.892,54.9635,95,8.46,100,10.83,RU,1612053395
64,Aden,12.7794,45.0367,75,73.78,16,8.63,YE,1612053345
65,Ndélé,8.4109,20.6473,21,72.79,5,7.74,CF,1612053322
66,Khatanga,71.9667,102.5,78,-47.02,40,0.72,RU,1612053398
67,Ténenkou,14.4572,-4.9169,22,67.75,0,9.46,ML,1612053399
68,West Bay,19.3667,-81.4167,73,77.0,20,8.05,KY,1612053400
69,Bumba,2.1833,22.4667,53,70.74,98,1.68,CD,1612053401
70,Morón,-34.6534,-58.6198,90,64.0,86,5.01,AR,1612053402
71,Tasiilaq,65.6145,-37.6368,30,21.2,90,16.11,GL,1612053311
72,Saint George,37.1041,-113.5841,50,50.0,1,1.41,US,1612053369
73,Qaanaaq,77.484,-69.3632,80,-5.67,100,2.84,GL,1612053361
74,Havelock,34.8791,-76.9013,55,37.0,1,4.61,US,1612053406
75,Port Alfred,-33.5906,26.891,92,62.01,0,1.77,ZA,1612053395
76,Salym,60.0625,71.4789,93,2.5,100,10.16,RU,1612053409
77,East London,-33.0153,27.9116,85,69.93,70,3.36,ZA,1612053410
78,Nouadhibou,20.931,-17.0347,64,68.0,0,18.41,MR,1612053411
79,Ayan,56.45,138.1667,84,-6.93,100,7.2,RU,1612053387
80,Belaya Gora,68.5333,146.4167,85,-27.9,100,2.53,RU,1612053405
81,Flinders,-34.5833,150.8552,85,73.0,100,5.01,AU,1612053414
82,Qandala,11.472,49.8728,70,70.79,22,2.62,SO,1612053415
83,New Norfolk,-42.7826,147.0587,28,72.0,4,3.0,AU,1612053416
84,Bowen,-20.0167,148.2333,70,84.2,40,18.41,AU,1612053225
85,Dareda,-4.2167,35.55,94,58.77,90,3.74,TZ,1612053418
86,Kapaa,22.0752,-159.319,65,78.8,75,14.97,US,1612053420
87,Pamyat' Parizhskoy Kommuny,56.1048,44.4952,74,26.6,90,6.71,RU,1612053421
88,Hilo,19.7297,-155.09,54,80.6,75,9.22,US,1612053162
89,Hobart,-42.8794,147.3294,40,72.0,20,11.5,AU,1612053163
90,Cabo San Lucas,22.8909,-109.9124,77,73.4,40,4.61,MX,1612053425
91,Regeneração,-6.2378,-42.6883,89,73.4,100,3.24,BR,1612053426
92,Sola,-13.8833,167.55,70,87.8,75,5.75,VU,1612053427
93,Outjo,-20.1167,16.15,70,66.33,79,10.18,NA,1612053428
94,Patillas,18.0064,-66.0157,79,75.99,15,7.0,PR,1612053429
95,Prince Rupert,54.3161,-130.3201,75,41.0,1,3.44,CA,1612053410
96,Tuktoyaktuk,69.4541,-133.0374,67,-34.6,40,3.44,CA,1612053144
97,Port Blair,11.6667,92.75,78,79.09,0,6.67,IN,1612053151
98,Leningradskiy,69.3833,178.4167,82,-27.49,0,2.84,RU,1612053434
99,Mahébourg,-20.4081,57.7,83,78.8,40,8.05,MU,1612053344
100,George Town,5.4112,100.3354,83,77.0,20,6.78,MY,1612053362
101,Yarke Pole,45.608,34.3172,85,41.83,92,5.19,UA,1612053437
102,Gobabis,-22.45,18.9667,28,73.71,100,8.68,NA,1612053439
103,Nanortalik,60.1432,-45.2371,90,29.19,100,11.03,GL,1612053342
104,Port Lincoln,-34.7333,135.8667,62,66.7,65,13.73,AU,1612053361
105,Bengkulu,-3.8004,102.2655,93,74.43,100,6.38,ID,1612053409
106,Bredasdorp,-34.5322,20.0403,84,66.99,0,6.22,ZA,1612053136
107,Bethel,41.3712,-73.414,62,21.0,1,4.61,US,1612053361
108,Acapulco de Juárez,16.8634,-99.8901,74,84.2,40,4.61,MX,1612053149
109,Delfzijl,53.33,6.9181,96,27.0,32,3.04,NL,1612053447
110,Tiksi,71.6872,128.8694,86,-27.49,100,4.68,RU,1612053448
111,Geraldton,-28.7667,114.6,25,91.4,0,20.71,AU,1612053243
112,Svetlaya,46.5389,138.3297,80,3.97,49,8.57,RU,1612053450
113,Georgiyevka,43.0369,74.7114,68,21.2,97,6.71,KZ,1612053451
114,Mossamedes,-15.1961,12.1522,75,72.97,95,5.7,AO,1612053452
115,Hong Kong,22.2855,114.1577,63,64.0,0,16.17,HK,1612053322
116,Kungälv,57.871,11.9805,86,28.99,0,1.14,SE,1612053343
117,Leopold,-38.1833,144.4667,68,66.2,90,12.66,AU,1612053455
118,Bathsheba,13.2167,-59.5167,73,78.8,40,17.27,BB,1612053399
119,Poum,-20.2333,164.0167,66,80.11,2,9.4,NC,1612053458
120,Barrow,71.2906,-156.7887,70,-11.2,90,6.91,US,1612053459
121,Vila Franca do Campo,37.7167,-25.4333,94,62.6,75,16.11,PT,1612053440
122,Kavieng,-2.5744,150.7967,73,83.28,98,13.98,PG,1612053462
123,Mabaruma,8.2,-59.7833,94,74.43,39,4.47,GY,1612053463
124,Piranshahr,36.701,45.1413,91,22.32,47,8.14,IR,1612053464
125,Nyurba,63.2842,118.3319,81,-39.01,100,2.59,RU,1612053191
126,Havre-St-Pierre,50.2334,-63.5986,73,19.4,90,11.5,CA,1612053388
127,Newport,51.5877,-2.9984,90,39.0,35,3.0,GB,1612053467
128,Hithadhoo,-0.6,73.0833,79,81.68,24,14.23,MV,1612053469
129,Deputatsky,69.3,139.9,88,-25.11,100,1.7,RU,1612053471
130,Cidreira,-30.1811,-50.2056,88,75.78,98,9.33,BR,1612053472
131,Ust-Nera,64.5667,143.2,76,-25.51,92,7.78,RU,1612053473
132,Sarkand,45.41,79.9186,65,27.28,100,4.72,KZ,1612053474
133,Beringovskiy,63.05,179.3167,94,7.0,100,29.08,RU,1612053475
134,Saldanha,-33.0117,17.9442,93,63.68,0,1.54,ZA,1612053477
135,San Quintín,30.4833,-115.95,68,58.86,0,10.45,MX,1612053371
136,Arman',59.7,150.1667,78,-12.59,69,17.98,RU,1612053479
137,Port Elizabeth,-33.918,25.5701,94,62.6,0,6.91,ZA,1612053481
138,Mardin,37.3131,40.7436,81,42.8,75,20.71,TR,1612053344
139,Caravelas,-17.7125,-39.2481,86,75.6,0,5.39,BR,1612053483
140,Port-Gentil,-0.7193,8.7815,88,77.0,90,13.8,GA,1612053396
141,Hermanus,-34.4187,19.2345,84,66.99,0,9.35,ZA,1612053485
142,Acarí,-15.4311,-74.6158,61,73.47,100,3.78,PE,1612053411
143,Leh,34.1667,77.5833,56,0.59,14,1.41,IN,1612053487
144,Tamasane,-22.4184,27.4013,85,70.99,29,7.74,BW,1612053488
145,Yellowknife,62.456,-114.3525,77,-13.0,20,4.61,CA,1612053351
146,Cockburn Town,21.4612,-71.1419,60,73.4,20,11.5,TC,1612053490
147,Lingyuan,41.24,119.4011,90,16.54,3,4.41,CN,1612053491
148,São José da Coroa Grande,-8.8978,-35.1478,82,78.13,100,8.86,BR,1612053432
149,Presidente Dutra,-5.29,-44.49,92,73.83,100,0.85,BR,1612053494
150,Digby,44.6169,-65.7655,86,21.2,97,2.3,CA,1612053495
151,Ust-Kuyga,70.0167,135.6,81,-33.84,57,4.32,RU,1612053384
152,Rio Grande,-32.035,-52.0986,91,75.81,86,13.24,BR,1612053449
153,Malente,54.1712,10.5552,86,26.6,75,10.36,DE,1612053498
154,Odienné,9.51,-7.5692,20,72.95,0,3.89,CI,1612053500
155,Provideniya,64.3833,-173.3,83,-10.1,98,13.87,RU,1612053501
156,Yeppoon,-23.1333,150.7333,58,84.2,40,12.66,AU,1612053270
157,Arraial do Cabo,-22.9661,-42.0278,82,77.0,0,26.98,BR,1612053358
158,Rome,43.2128,-75.4557,67,17.6,90,8.05,US,1612053500
159,Ballinasloe,53.3275,-8.2194,84,39.0,100,3.0,IE,1612053506
160,Kalāleh,37.3807,55.4916,71,47.79,0,3.06,IR,1612053378
161,The Valley,18.217,-63.0578,83,78.8,40,4.61,AI,1612053508
162,Oranjemund,-28.55,16.4333,91,60.39,2,7.47,NA,1612053443
163,Visby,57.6409,18.296,80,28.4,90,12.66,SE,1612053473
164,Bonavista,48.6499,-53.1147,93,28.99,95,5.75,CA,1612053511
165,Yumen,40.2833,97.2,73,21.61,0,23.15,CN,1612053512
166,Aksarka,66.5606,67.7975,88,-16.6,100,10.09,RU,1612053513
167,Haines Junction,60.7522,-137.5108,77,-5.8,97,1.14,CA,1612053515
168,Torbay,47.6666,-52.7314,93,28.99,90,8.05,CA,1612053317
169,Panalingaan,8.7842,117.4231,70,80.65,54,4.74,PH,1612053519
170,Longyearbyen,78.2186,15.6401,65,-4.0,20,19.57,SJ,1612053487
171,Tommot,58.9564,126.2925,76,-41.4,81,0.6,RU,1612053521
172,Nordenham,53.5,8.4833,92,15.8,0,3.44,DE,1612053522
173,Lagoa,39.05,-27.9833,94,61.9,100,25.64,PT,1612053384
174,Katsuura,35.1333,140.3,39,52.0,20,5.75,JP,1612053524
175,Lebu,-37.6167,-73.65,84,56.77,12,11.41,CL,1612053525
176,West Melbourne,28.0717,-80.6534,68,66.99,90,13.8,US,1612053389
177,San Patricio,28.017,-97.5169,78,73.4,20,18.41,US,1612053527
178,Hammerfest,70.6634,23.6821,80,26.6,40,13.8,NO,1612053528
179,Ayagoz,47.9714,80.4392,88,15.84,100,14.72,KZ,1612053455
180,Dikson,73.5069,80.5464,80,-34.4,0,7.31,RU,1612053531
181,Norsup,-16.0667,167.3833,64,85.1,87,9.17,VU,1612053426
182,Calama,-22.4667,-68.9333,11,66.2,0,21.85,CL,1612053533
183,Mt. Pleasant,32.7941,-79.8626,76,48.99,40,12.97,US,1612053534
184,Bullhead City,35.1478,-114.5683,34,62.6,1,9.22,US,1612053263
185,Arlit,18.7369,7.3853,27,59.5,0,3.6,NE,1612053536
186,Nelson Bay,-32.7167,152.15,78,80.6,75,11.5,AU,1612053450
187,Lumut,4.2323,100.6298,94,73.4,20,6.02,MY,1612053434
188,Palu,-0.8917,119.8707,56,83.64,100,1.61,ID,1612053539
189,Castro,-24.7911,-50.0119,97,65.68,100,5.99,BR,1612053540
190,Chapais,49.7834,-74.8492,77,-4.0,90,6.91,CA,1612053382
191,Esperance,-33.8667,121.9,64,68.0,0,13.8,AU,1612053368
192,Jalu,29.0331,21.5482,44,59.18,0,11.05,LY,1612053544
193,Narsaq,60.9167,-46.05,28,39.2,75,33.38,GL,1612053545
194,Shimoda,34.6667,138.95,62,50.0,20,5.75,JP,1612053546
195,Banjar,-8.19,114.9675,83,80.6,40,10.36,ID,1612053547
196,Ancud,-41.8697,-73.8203,62,57.2,0,9.22,CL,1612053479
197,Kharp,66.8014,65.8081,84,-20.97,100,5.19,RU,1612053549
198,Nyagan,62.1406,65.3936,91,-6.43,100,4.34,RU,1612053550
199,Dicabisagan,17.0818,122.4157,81,71.85,100,12.84,PH,1612053551
200,Nuuk,64.1835,-51.7216,86,17.6,20,8.05,GL,1612053455
201,Manaure,11.7751,-72.4445,67,78.08,64,17.94,CO,1612053554
202,Salalah,17.0151,54.0924,68,66.2,0,3.44,OM,1612053378
203,Freeport,40.6576,-73.5832,37,30.0,1,9.22,US,1612053300
204,Walvis Bay,-22.9575,14.5053,88,66.99,1,3.44,NA,1612053559
205,Iqaluit,63.7506,-68.5145,77,-9.0,1,19.57,CA,1612053346
206,Butaritari,3.0707,172.7902,78,81.32,30,18.86,KI,1612053541
207,Okahandja,-21.9833,16.9167,60,68.0,100,3.06,NA,1612053562
208,Lao Cai,22.4833,103.95,84,60.6,100,0.81,VN,1612053563
209,Santa Rosa,14.3122,121.1114,69,79.0,40,5.75,PH,1612053564
210,Kaitong,44.8135,123.15,91,-2.88,100,6.62,CN,1612053566
211,Zwedru,6.0667,-8.1281,96,72.95,51,2.89,LR,1612053567
212,Waingapu,-9.6567,120.2641,77,80.33,100,15.95,ID,1612053435
213,Nuevitas,21.5453,-77.2644,68,69.8,20,12.66,CU,1612053569
214,Solnechnyy,50.7214,136.6319,85,-10.39,48,4.23,RU,1612053570
215,Port Macquarie,-31.4333,152.9167,69,84.0,26,9.57,AU,1612053571
216,Beïnamar,8.6698,15.3813,22,71.33,0,3.94,TD,1612053572
217,Hofn,64.2539,-15.2082,83,21.67,0,18.61,IS,1612053573
218,Iberia,29.9502,-91.7507,82,66.99,90,9.22,US,1612053574
219,Cam Ranh,11.9214,109.1591,69,75.2,40,6.91,VN,1612053575
220,Qasigiannguit,68.8193,-51.1922,61,6.8,90,8.05,GL,1612053576
221,Portland,45.5234,-122.6762,81,48.99,90,13.8,US,1612052806
222,Cherskiy,68.75,161.3,83,-35.3,0,0.96,RU,1612053328
223,Puerto Colombia,10.9878,-74.9547,73,78.8,0,16.11,CO,1612053580
224,Esna,25.2934,32.554,62,50.0,0,6.58,EG,1612053581
225,Upernavik,72.7868,-56.1549,85,-9.45,77,6.51,GL,1612053583
226,Ajdabiya,30.7554,20.2263,63,59.43,0,6.26,LY,1612053584
227,Kysyl-Syr,63.8986,122.7617,76,-52.89,48,1.92,RU,1612053586
228,Ipirá,-12.1583,-39.7372,76,74.52,100,11.68,BR,1612053587
229,Marawi,7.9986,124.2928,80,81.0,76,1.01,PH,1612053455
230,North Bend,43.4065,-124.2243,100,48.99,90,6.33,US,1612053345
231,Kumul,42.8,93.45,85,20.75,0,5.01,CN,1612053376
232,Chokurdakh,70.6333,147.9167,85,-29.6,0,8.3,RU,1612053591
233,Souillac,-20.5167,57.5167,83,78.8,40,8.05,MU,1612053381
234,Pevek,69.7008,170.3133,84,-33.68,9,2.55,RU,1612053339
235,Petauke,-14.2426,31.3253,98,65.82,100,2.82,ZM,1612053594
236,Comodoro Rivadavia,-45.8667,-67.5,51,60.8,0,8.05,AR,1612053596
237,Gamboula,4.1178,15.1393,91,67.42,100,3.31,CF,1612053597
238,Tautira,-17.7333,-149.15,58,87.8,75,9.22,PF,1612053428
239,Nadym,65.5333,72.5167,86,-17.23,100,20.4,RU,1612053599
240,Takāb,36.4009,47.1133,92,17.17,53,2.42,IR,1612053601
241,Richards Bay,-28.783,32.0377,95,73.69,88,4.23,ZA,1612053381
242,Taoudenni,22.6783,-3.9836,25,66.13,0,7.45,ML,1612053431
243,Codrington,-38.2667,141.9667,57,65.07,0,8.46,AU,1612053604
244,Coos Bay,43.3665,-124.2179,100,50.0,90,8.01,US,1612053597
245,Mana,5.6592,-53.7767,87,77.79,100,14.45,GF,1612053420
246,Garden City,42.3256,-83.331,59,30.2,90,6.91,US,1612053609
247,Severo-Kuril'sk,50.6789,156.125,95,25.18,100,28.63,RU,1612053366
248,Henties Bay,-22.116,14.2845,85,66.99,35,4.0,NA,1612053611
249,Xuanzhou,30.9525,118.7553,59,51.31,100,1.3,CN,1612053353
250,Ostrovnoy,68.0531,39.5131,95,14.54,100,7.47,RU,1612053448
251,Puerto del Rosario,28.5004,-13.8627,72,64.4,90,19.57,ES,1612053615
252,Verkhoyansk,67.5447,133.385,75,-45.98,57,0.69,RU,1612053480
253,Airai,-8.9266,125.4092,100,62.94,100,5.57,TL,1612053456
254,Springbok,-29.6643,17.8865,66,55.81,0,1.19,ZA,1612053618
255,Porto Nacional,-10.7081,-48.4172,100,75.2,20,3.44,BR,1612053619
256,Bandi̇̄pur,27.9333,84.4167,80,36.16,0,2.21,NP,1612053620
257,Săcăşeni,47.4833,22.6833,80,32.0,75,9.22,RO,1612053621
258,Mthatha,-31.5889,28.7844,94,66.2,63,3.44,ZA,1612053622
259,São Sebastião,-23.76,-45.4097,77,77.25,72,2.21,BR,1612053535
260,Half Moon Bay,37.4636,-122.4286,76,57.99,90,9.22,US,1612053625
261,Zelenogorskiy,55.0333,87.0,69,-18.4,0,2.24,RU,1612053626
262,Saint-Philippe,-21.3585,55.7679,65,78.8,0,6.91,RE,1612053586
263,Ruteng,-8.6136,120.4721,87,70.14,100,5.91,ID,1612053628
264,Amberley,39.2048,-84.428,87,33.01,100,4.0,US,1612053629
265,Doumé,4.2333,13.45,74,69.35,100,2.75,CM,1612053630
266,Tabuk,17.4189,121.4443,85,66.72,100,3.67,PH,1612053631
267,Ouégoa,-20.35,164.4333,56,83.57,0,11.43,NC,1612053632
268,Muisne,0.6,-80.0333,87,77.59,12,2.95,EC,1612053564
269,Magway,20.15,94.9167,54,63.18,77,2.24,MM,1612053634
270,Zhigansk,66.7697,123.3711,74,-48.64,59,3.69,RU,1612053552
271,Nantucket,41.2835,-70.0995,45,19.4,1,14.97,US,1612053557
272,Teknāf,20.8624,92.3058,62,63.46,42,9.01,BD,1612053638
273,Hambantota,6.1241,81.1185,100,75.2,20,9.22,LK,1612053639
274,Parker,32.7668,-97.8003,25,69.8,90,9.22,US,1612053640
275,Aykhal,66.0,111.5,80,-32.96,100,13.0,RU,1612053641
276,Touros,-5.1989,-35.4608,83,78.8,20,4.61,BR,1612053564
277,Tomatlán,19.9333,-105.25,54,76.41,0,5.03,MX,1612053643
278,Mineiros,-17.5694,-52.5511,88,69.67,97,4.03,BR,1612053644
279,Del Rio,29.3627,-100.8968,24,78.8,1,6.91,US,1612053645
280,Bambanglipuro,-7.95,110.2833,78,80.4,100,3.36,ID,1612053388
281,Tokonou,9.65,-9.7833,24,68.54,0,2.98,GN,1612053438
282,Caicó,-6.4583,-37.0978,63,80.28,100,17.81,BR,1612053419
283,Kemijärvi,66.7131,27.4306,96,10.83,100,3.31,FI,1612053653
284,Goderich,43.7501,-81.7165,74,24.8,100,2.3,CA,1612053654
285,Sur,22.5667,59.5289,52,65.03,0,2.95,OM,1612053372
286,Clyde River,70.4692,-68.5914,84,-9.4,90,5.75,CA,1612053554
287,Treinta y Tres,-33.2333,-54.3833,95,68.09,100,17.47,UY,1612053657
288,Bangolo,7.0069,-7.475,85,73.0,93,2.08,CI,1612053658
289,Meadow Lake,34.8014,-106.5436,33,46.0,1,19.57,US,1612053660
290,Otradnoye,59.7775,30.8181,93,25.0,75,4.47,RU,1612053662
291,Cabedelo,-6.9811,-34.8339,83,78.8,0,5.75,BR,1612053586
292,Balabac,7.9868,117.0645,76,81.16,100,23.26,PH,1612053391
293,Thompson,55.7435,-97.8558,92,14.0,90,2.3,CA,1612053665
294,Whitianga,-36.8333,175.7,50,68.36,2,8.37,NZ,1612053666
295,Goma,-1.6792,29.2228,80,61.74,99,2.19,CD,1612053667
296,Maïné Soroa,13.2114,12.0241,25,65.43,0,11.05,NE,1612053369
297,Benghazi,32.1167,20.0667,78,61.99,0,9.91,LY,1612053669
298,Umm Kaddadah,13.6017,26.6876,29,61.09,0,13.18,SD,1612053424
299,Wexford,52.3342,-6.4575,96,42.01,41,5.99,IE,1612053671
300,Pāvilosta,56.8879,21.1859,74,30.2,90,9.22,LV,1612053672
301,Kapuskasing,49.4169,-82.4331,84,-4.0,0,2.17,CA,1612053674
302,Tigzirt,36.8886,4.1198,71,56.59,99,19.24,DZ,1612053675
303,Ukiah,39.1502,-123.2078,47,55.4,90,10.36,US,1612053676
304,Galesong,-5.3166,119.3661,94,77.0,20,4.61,ID,1612053677
305,Mocuba,-16.8392,36.9856,97,72.61,57,0.81,MZ,1612053678
306,Te Anau,-45.4167,167.7167,47,65.84,62,6.38,NZ,1612053490
307,Lüderitz,-26.6481,15.1594,63,65.39,0,18.03,NA,1612053384
308,Tiarei,-17.5333,-149.3333,58,87.8,75,9.22,PF,1612053681
309,Tiznit Province,29.5833,-9.5,84,56.3,100,2.21,MA,1612053682
310,Sayyan,15.1718,44.3244,49,46.24,0,4.21,YE,1612053683
311,Brookhaven,31.5791,-90.4407,82,63.0,100,10.71,US,1612053685
312,Quixadá,-4.9714,-39.0153,78,76.64,100,5.53,BR,1612053686
313,Sikasso,10.9167,-7.0,20,71.6,11,3.96,ML,1612053687
314,Port Pirie,-33.1833,138.0167,60,69.8,7,12.66,AU,1612053688
315,Gao,16.6362,1.637,22,66.9,0,11.12,ML,1612053689
316,Poronaysk,49.2167,143.1167,86,3.52,100,6.04,RU,1612053690
317,Bambous Virieux,-20.3428,57.7575,83,78.8,40,8.05,MU,1612053399
318,Messaria,36.3985,25.4459,78,54.0,0,5.99,GR,1612053692
319,Oktyabr'skiy,54.4815,53.471,98,25.56,100,6.91,RU,1612053693
320,Vincennes,48.85,2.4333,93,50.0,75,3.44,FR,1612053695
321,Acajutla,13.5928,-89.8275,54,80.6,20,5.79,SV,1612053697
322,Terney,45.0503,136.6092,81,0.82,0,15.73,RU,1612053698
323,Hadejia,12.4498,10.0444,26,65.68,0,9.06,NG,1612053699
324,Suntar,62.1444,117.6319,82,-35.03,100,1.99,RU,1612053700
325,Kashgar,39.4547,75.9797,58,24.8,20,8.95,CN,1612053613
326,Farafangana,-22.8167,47.8333,88,76.84,2,5.95,MG,1612053703
327,Ati,13.2154,18.3353,23,68.92,0,10.22,TD,1612053704
328,Rosetta,31.4044,30.4164,61,60.4,0,19.28,EG,1612053705
329,Chicama,-7.8447,-79.1469,83,69.8,90,12.66,PE,1612053706
330,Asău,46.4333,26.4,80,37.0,75,16.11,RO,1612053707
331,Baykit,61.67,96.37,76,-34.74,0,1.5,RU,1612053591
332,Concordia,-31.393,-58.0209,93,71.01,99,14.0,AR,1612053429
333,Ponta do Sol,32.6667,-17.1,74,59.0,45,1.99,PT,1612053420
334,Mackay,-21.15,149.2,66,86.0,40,16.11,AU,1612053712
335,Katherine,-14.4667,132.2667,78,82.4,75,12.66,AU,1612053713
336,Port Hedland,-20.3167,118.5667,70,86.0,100,8.05,AU,1612053506
337,Broome,42.2506,-75.833,73,15.01,1,9.22,US,1612053716
338,Sydney Mines,46.2367,-60.2177,80,27.0,90,16.11,CA,1612053717
339,Ola,59.5833,151.2833,81,-13.29,62,16.24,RU,1612053718
340,Bonfim,3.0833,-59.95,69,80.11,5,8.63,BR,1612053435
341,Itacoatiara,-3.1431,-58.4442,88,76.51,25,2.15,BR,1612053720
342,Shingū,33.7333,135.9833,66,48.2,40,13.8,JP,1612053722
343,Raudeberg,61.9875,5.1352,93,33.01,100,8.99,NO,1612053724
344,Barcelos,41.5388,-8.6151,94,53.6,75,2.3,PT,1612053725
345,Labuhan,-6.8844,112.2051,83,80.51,67,6.2,ID,1612053726
346,Kosonsoy,41.2561,71.5508,44,35.6,100,2.3,UZ,1612053727
347,Chipata,-13.6333,32.65,96,64.36,41,3.53,ZM,1612053729
348,Khovd,48.0056,91.6419,83,6.33,2,1.36,MN,1612053730
349,Ilhabela,-23.7781,-45.3581,81,77.7,84,2.1,BR,1612053507
350,Marshall,34.3834,-86.3333,46,52.0,1,9.22,US,1612053733
351,Port Moresby,-9.4431,147.1797,94,75.2,75,10.36,PG,1612053444
352,Husavik,66.0449,-17.3389,85,14.0,90,4.61,IS,1612053563
353,Mach,29.8637,67.3298,39,49.21,0,1.34,PK,1612053736
354,Aklavik,68.2191,-135.0107,76,-16.6,90,5.75,CA,1612053446
355,Broken Hill,-31.95,141.4333,38,77.0,8,13.8,AU,1612053738
356,Kabinda,-6.1333,24.4833,96,67.62,100,1.57,CD,1612053739
